onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	200.303	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
200.803	0.0	nontarget	5	200803	z	0	38.0	n/a	n/a	1
202.919	0.0	target	6	202919	d	1	24.0	1	0.4193315	1
203.219	0.5	BAD keypress	2	203219	n/a	n/a	n/a	n/a	n/a	n/a
203.469	0.0	keypress	4	203469	n/a	n/a	n/a	n/a	n/a	n/a
205.119	0.0	nontarget	5	205119	f	0	39.0	n/a	n/a	1
207.069	0.0	nontarget	5	207069	x	0	14.0	n/a	n/a	1
209.552	0.0	nontarget	5	209552	n	0	46.0	n/a	n/a	1
211.819	0.0	nontarget	5	211819	s	0	33.0	n/a	n/a	1
214.135	0.0	nontarget	5	214135	j	0	36.0	n/a	n/a	1
216.219	0.0	nontarget	5	216219	y	0	22.0	n/a	n/a	1
218.219	0.0	nontarget	5	218219	m	0	17.0	n/a	n/a	1
220.402	0.0	nontarget	5	220402	a	0	28.0	n/a	n/a	1
222.918	0.0	nontarget	5	222918	i	0	48.0	n/a	n/a	1
224.902	0.0	nontarget	5	224902	ä	0	16.0	n/a	n/a	1
227.418	0.0	nontarget	5	227418	h	0	48.0	n/a	n/a	1
229.935	0.0	target	6	229935	y	1	48.0	1	0.4419402	1
230.235	0.5	BAD keypress	2	230235	n/a	n/a	n/a	n/a	n/a	n/a
230.485	0.0	keypress	4	230485	n/a	n/a	n/a	n/a	n/a	n/a
231.851	0.0	target	6	231851	j	1	23.0	1	0.4773879	1
232.201	0.5	BAD keypress	2	232201	n/a	n/a	n/a	n/a	n/a	n/a
232.451	0.0	keypress	4	232451	n/a	n/a	n/a	n/a	n/a	n/a
234.235	0.0	target	6	234235	q	1	47.0	1	0.3978838	1
234.501	0.5	BAD keypress	2	234501	n/a	n/a	n/a	n/a	n/a	n/a
234.751	0.0	keypress	4	234751	n/a	n/a	n/a	n/a	n/a	n/a
236.251	0.0	nontarget	5	236251	z	0	31.0	n/a	n/a	1
238.734	0.0	nontarget	5	238734	j	0	46.0	n/a	n/a	1
241.101	0.0	target	6	241101	z	1	39.0	1	0.4111582	1
241.351	0.5	BAD keypress	2	241351	n/a	n/a	n/a	n/a	n/a	n/a
241.601	0.0	keypress	4	241601	n/a	n/a	n/a	n/a	n/a	n/a
243.134	0.0	nontarget	5	243134	o	0	33.0	n/a	n/a	1
245.684	0.0	nontarget	5	245684	n	0	50.0	n/a	n/a	1
248.051	0.0	nontarget	5	248051	u	0	39.0	n/a	n/a	1
250.317	0.0	nontarget	5	250317	f	0	33.0	n/a	n/a	1
252.367	0.0	nontarget	5	252367	s	0	20.0	n/a	n/a	1
254.8	0.0	target	6	254800	ä	1	43.0	1	0.3428082	1
255.017	0.5	BAD keypress	2	255017	n/a	n/a	n/a	n/a	n/a	n/a
255.267	0.0	keypress	4	255267	n/a	n/a	n/a	n/a	n/a	n/a
256.984	0.0	nontarget	5	256984	ä	0	44.0	n/a	n/a	1
259.217	0.0	nontarget	5	259217	v	0	31.0	n/a	n/a	1
261.333	0.0	nontarget	5	261333	h	0	24.0	n/a	n/a	1
