onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	232.797	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
233.297	0.0	nontarget	5	233297	s	0	17.0	n/a	n/a	1
235.613	0.0	nontarget	5	235613	ä	0	36.0	n/a	n/a	1
237.813	0.0	nontarget	5	237813	o	0	29.0	n/a	n/a	1
240.196	0.0	nontarget	5	240196	t	0	40.0	n/a	n/a	1
242.313	0.0	nontarget	5	242313	k	0	24.0	n/a	n/a	1
244.863	0.0	nontarget	5	244863	y	0	50.0	n/a	n/a	1
246.913	0.0	target	6	246913	o	1	20.0	1	0.411267	1
247.196	0.5	BAD keypress	2	247196	n/a	n/a	n/a	n/a	n/a	n/a
247.446	0.0	keypress	4	247446	n/a	n/a	n/a	n/a	n/a	n/a
249.179	0.0	nontarget	5	249179	e	0	44.0	n/a	n/a	1
251.646	0.0	nontarget	5	251646	d	0	45.0	n/a	n/a	1
254.062	0.0	nontarget	5	254062	y	0	42.0	n/a	n/a	1
256.496	0.0	nontarget	5	256496	a	0	43.0	n/a	n/a	1
258.729	0.0	nontarget	5	258729	e	0	31.0	n/a	n/a	1
260.779	0.0	nontarget	5	260779	b	0	20.0	n/a	n/a	1
263.312	0.0	nontarget	5	263312	w	0	49.0	n/a	n/a	1
265.545	0.0	target	6	265545	c	1	31.0	1	0.4495886	1
265.829	0.5	BAD keypress	2	265829	n/a	n/a	n/a	n/a	n/a	n/a
266.079	0.0	keypress	4	266079	n/a	n/a	n/a	n/a	n/a	n/a
267.562	0.0	nontarget	5	267562	f	0	30.0	n/a	n/a	1
269.978	0.0	target	6	269978	n	1	42.0	1	0.4160884	1
270.245	0.5	BAD keypress	2	270245	n/a	n/a	n/a	n/a	n/a	n/a
270.495	0.0	keypress	4	270495	n/a	n/a	n/a	n/a	n/a	n/a
272.112	0.0	nontarget	5	272112	ß	0	37.0	n/a	n/a	1
274.395	0.0	nontarget	5	274395	w	0	34.0	n/a	n/a	1
276.745	0.0	nontarget	5	276745	u	0	38.0	n/a	n/a	1
279.211	0.0	nontarget	5	279211	h	0	45.0	n/a	n/a	1
281.678	0.0	nontarget	5	281678	k	0	45.0	n/a	n/a	1
283.961	0.0	nontarget	5	283961	a	0	34.0	n/a	n/a	1
286.261	0.0	nontarget	5	286261	f	0	35.0	n/a	n/a	1
288.277	0.0	target	6	288277	ü	1	18.0	1	0.4837469	1
288.628	0.5	BAD keypress	2	288628	n/a	n/a	n/a	n/a	n/a	n/a
288.878	0.0	keypress	4	288878	n/a	n/a	n/a	n/a	n/a	n/a
290.244	0.0	nontarget	5	290244	n	0	23.0	n/a	n/a	1
292.194	0.0	nontarget	5	292194	v	0	14.0	n/a	n/a	1
294.627	0.0	nontarget	5	294627	z	0	43.0	n/a	n/a	1
