onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	169.943	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
170.193	0.5	BAD keypress	2	170193	n/a	n/a	n/a	n/a	n/a	n/a
170.443	0.0	keypress	4	170443	n/a	n/a	n/a	n/a	n/a	n/a
171.776	0.0	nontarget	5	171776	n	0	22.0	n/a	n/a	1
174.159	0.0	target	6	174159	a	1	40.0	1	0.4017588	1
174.426	0.5	BAD keypress	2	174426	n/a	n/a	n/a	n/a	n/a	n/a
174.676	0.0	keypress	4	174676	n/a	n/a	n/a	n/a	n/a	n/a
176.042	0.0	nontarget	5	176042	i	0	23.0	n/a	n/a	1
178.142	0.0	nontarget	5	178142	t	0	23.0	n/a	n/a	1
180.542	0.0	target	6	180542	j	1	41.0	1	0.4342316	1
180.876	0.5	BAD keypress	2	180876	n/a	n/a	n/a	n/a	n/a	n/a
181.126	0.0	keypress	4	181126	n/a	n/a	n/a	n/a	n/a	n/a
182.942	0.0	nontarget	5	182942	ö	0	50.0	n/a	n/a	1
185.042	0.0	nontarget	5	185042	k	0	23.0	n/a	n/a	1
187.209	0.0	nontarget	5	187209	d	0	27.0	n/a	n/a	1
189.542	0.0	nontarget	5	189542	m	0	37.0	n/a	n/a	1
191.708	0.0	nontarget	5	191708	n	0	27.0	n/a	n/a	1
194.158	0.0	nontarget	5	194158	i	0	44.0	n/a	n/a	1
196.625	0.0	target	6	196625	k	1	45.0	1	0.3986321	1
196.925	0.5	BAD keypress	2	196925	n/a	n/a	n/a	n/a	n/a	n/a
197.175	0.0	keypress	4	197175	n/a	n/a	n/a	n/a	n/a	n/a
198.475	0.0	target	6	198475	b	1	18.0	1	0.4844996	1
198.842	0.5	BAD keypress	2	198842	n/a	n/a	n/a	n/a	n/a	n/a
199.092	0.0	keypress	4	199092	n/a	n/a	n/a	n/a	n/a	n/a
200.891	0.0	nontarget	5	200891	s	0	49.0	n/a	n/a	1
202.991	0.0	nontarget	5	202991	x	0	23.0	n/a	n/a	1
