onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	568.662	BAD_break	2	0	n/a	n/a	n/a	n/a	n/a	n/a
569.162	0.0	target	5	569162	e	1	33.0	1	0.4060324	1
569.412	0.5	BAD keypress	1	569412	n/a	n/a	n/a	n/a	n/a	n/a
569.662	0.0	keypress	3	569662	n/a	n/a	n/a	n/a	n/a	n/a
571.295	0.0	nontarget	4	571295	t	0	38.0	n/a	n/a	1
573.462	0.0	nontarget	4	573462	i	0	27.0	n/a	n/a	1
575.895	0.0	target	5	575895	z	1	43.0	1	0.3926855	1
576.145	0.5	BAD keypress	1	576145	n/a	n/a	n/a	n/a	n/a	n/a
576.395	0.0	keypress	3	576395	n/a	n/a	n/a	n/a	n/a	n/a
578.195	0.0	nontarget	4	578195	r	0	48.0	n/a	n/a	1
580.445	0.0	nontarget	4	580445	z	0	32.0	n/a	n/a	1
582.545	0.0	nontarget	4	582545	t	0	23.0	n/a	n/a	1
584.495	0.0	target	5	584495	t	1	14.0	1	0.4484711	1
584.795	0.5	BAD keypress	1	584795	n/a	n/a	n/a	n/a	n/a	n/a
585.045	0.0	keypress	3	585045	n/a	n/a	n/a	n/a	n/a	n/a
586.378	0.0	nontarget	4	586378	w	0	20.0	n/a	n/a	1
588.845	0.0	nontarget	4	588845	m	0	45.0	n/a	n/a	1
591.378	0.0	nontarget	4	591378	ü	0	49.0	n/a	n/a	1
593.428	0.0	nontarget	4	593428	t	0	20.0	n/a	n/a	1
595.678	0.0	nontarget	4	595678	p	0	32.0	n/a	n/a	1
598.061	0.0	nontarget	4	598061	y	0	40.0	n/a	n/a	1
600.211	0.0	nontarget	4	600211	k	0	26.0	n/a	n/a	1
602.494	0.0	nontarget	4	602494	ü	0	34.0	n/a	n/a	1
604.511	0.0	target	5	604511	n	1	18.0	1	0.5752601	1
604.927	0.5	BAD keypress	1	604927	n/a	n/a	n/a	n/a	n/a	n/a
605.177	0.0	keypress	3	605177	n/a	n/a	n/a	n/a	n/a	n/a
606.961	0.0	target	5	606961	y	1	47.0	1	0.5252805	1
607.361	0.5	BAD keypress	1	607361	n/a	n/a	n/a	n/a	n/a	n/a
607.611	0.0	keypress	3	607611	n/a	n/a	n/a	n/a	n/a	n/a
609.277	0.0	target	5	609277	g	1	41.0	1	0.4006722	1
609.544	0.5	BAD keypress	1	609544	n/a	n/a	n/a	n/a	n/a	n/a
609.794	0.0	keypress	3	609794	n/a	n/a	n/a	n/a	n/a	n/a
611.227	0.0	nontarget	4	611227	k	0	27.0	n/a	n/a	1
613.177	0.0	nontarget	4	613177	f	0	14.0	n/a	n/a	1
615.727	0.0	target	5	615727	x	1	50.0	1	0.4944221	1
616.11	0.5	BAD keypress	1	616110	n/a	n/a	n/a	n/a	n/a	n/a
616.36	0.0	keypress	3	616360	n/a	n/a	n/a	n/a	n/a	n/a
617.96	0.0	nontarget	4	617960	b	0	36.0	n/a	n/a	1
620.06	0.0	nontarget	4	620060	n	0	23.0	n/a	n/a	1
622.243	0.0	nontarget	4	622243	y	0	28.0	n/a	n/a	1
624.326	0.0	nontarget	4	624326	a	0	22.0	n/a	n/a	1
626.31	0.0	nontarget	4	626310	ö	0	16.0	n/a	n/a	1
628.36	0.0	nontarget	4	628360	ü	0	20.0	n/a	n/a	1
630.826	0.0	nontarget	4	630826	n	0	45.0	n/a	n/a	1
633.193	0.0	nontarget	4	633193	p	0	39.0	n/a	n/a	1
635.176	0.0	nontarget	4	635176	t	0	16.0	n/a	n/a	1
637.293	0.0	nontarget	4	637293	y	0	24.0	n/a	n/a	1
639.542	0.0	nontarget	4	639542	b	0	32.0	n/a	n/a	1
641.676	0.0	nontarget	4	641676	c	0	25.0	n/a	n/a	1
643.759	0.0	nontarget	4	643759	ö	0	22.0	n/a	n/a	1
645.792	0.0	nontarget	4	645792	g	0	19.0	n/a	n/a	1
647.825	0.0	nontarget	4	647825	m	0	19.0	n/a	n/a	1
650.359	0.0	target	5	650359	v	1	49.0	1	0.5163635	1
650.725	0.5	BAD keypress	1	650725	n/a	n/a	n/a	n/a	n/a	n/a
650.975	0.0	keypress	3	650975	n/a	n/a	n/a	n/a	n/a	n/a
652.342	0.0	nontarget	4	652342	d	0	22.0	n/a	n/a	1
654.342	0.0	nontarget	4	654342	b	0	17.0	n/a	n/a	1
656.808	0.0	nontarget	4	656808	o	0	45.0	n/a	n/a	1
658.775	0.0	nontarget	4	658775	a	0	15.0	n/a	n/a	1
661.058	0.0	nontarget	4	661058	k	0	34.0	n/a	n/a	1
663.358	0.0	nontarget	4	663358	ö	0	35.0	n/a	n/a	1
665.341	0.0	nontarget	4	665341	u	0	16.0	n/a	n/a	1
667.341	0.0	nontarget	4	667341	z	0	17.0	n/a	n/a	1
669.824	0.0	nontarget	4	669824	q	0	46.0	n/a	n/a	1
672.258	0.0	nontarget	4	672258	n	0	43.0	n/a	n/a	1
674.224	0.0	nontarget	4	674224	t	0	15.0	n/a	n/a	1
676.224	0.0	nontarget	4	676224	s	0	17.0	n/a	n/a	1
678.357	0.0	nontarget	4	678357	ü	0	25.0	n/a	n/a	1
680.857	0.0	target	5	680857	k	1	47.0	1	0.4477059	1
681.157	0.5	BAD keypress	1	681157	n/a	n/a	n/a	n/a	n/a	n/a
681.407	0.0	keypress	3	681407	n/a	n/a	n/a	n/a	n/a	n/a
682.807	0.0	nontarget	4	682807	k	0	25.0	n/a	n/a	1
685.124	0.0	nontarget	4	685124	g	0	36.0	n/a	n/a	1
687.157	0.0	nontarget	4	687157	p	0	19.0	n/a	n/a	1
689.624	0.0	nontarget	4	689624	s	0	45.0	n/a	n/a	1
692.073	0.0	nontarget	4	692073	r	0	44.0	n/a	n/a	1
694.39	0.0	nontarget	4	694390	d	0	36.0	n/a	n/a	1
696.94	0.0	nontarget	4	696940	i	0	50.0	n/a	n/a	1
699.023	0.0	target	5	699023	t	1	22.0	1	0.4885019	1
699.373	0.5	BAD keypress	1	699373	n/a	n/a	n/a	n/a	n/a	n/a
699.623	0.0	keypress	3	699623	n/a	n/a	n/a	n/a	n/a	n/a
701.156	0.0	nontarget	4	701156	t	0	33.0	n/a	n/a	1
703.373	0.0	nontarget	4	703373	z	0	30.0	n/a	n/a	1
705.839	0.0	nontarget	4	705839	p	0	45.0	n/a	n/a	1
708.206	0.0	nontarget	4	708206	q	0	39.0	n/a	n/a	1
710.639	0.0	target	5	710639	x	1	43.0	1	0.5036585	1
711.006	0.5	BAD keypress	1	711006	n/a	n/a	n/a	n/a	n/a	n/a
711.256	0.0	keypress	3	711256	n/a	n/a	n/a	n/a	n/a	n/a
712.889	0.0	nontarget	4	712889	d	0	39.0	n/a	n/a	1
713.989	17.632999999999925	BAD_break	2	713989	n/a	n/a	n/a	n/a	n/a	n/a
732.122	0.0	nontarget	4	732122	z	0	40.0	n/a	n/a	2
734.605	0.0	target	5	734605	l	1	46.0	1	0.4244786	2
734.922	0.5	BAD keypress	1	734922	n/a	n/a	n/a	n/a	n/a	n/a
735.172	0.0	keypress	3	735172	n/a	n/a	n/a	n/a	n/a	n/a
736.888	0.0	nontarget	4	736888	w	0	43.0	n/a	n/a	2
738.955	0.0	nontarget	4	738955	v	0	21.0	n/a	n/a	2
741.055	0.0	nontarget	4	741055	c	0	23.0	n/a	n/a	2
743.238	0.0	nontarget	4	743238	o	0	28.0	n/a	n/a	2
745.571	0.0	target	5	745571	k	1	37.0	1	0.49759609	2
745.938	0.5	BAD keypress	1	745938	n/a	n/a	n/a	n/a	n/a	n/a
746.188	0.0	keypress	3	746188	n/a	n/a	n/a	n/a	n/a	n/a
747.504	0.0	nontarget	4	747504	x	0	19.0	n/a	n/a	2
749.471	0.0	target	5	749471	q	1	15.0	1	0.4694095	2
749.804	0.5	BAD keypress	1	749804	n/a	n/a	n/a	n/a	n/a	n/a
750.054	0.0	keypress	3	750054	n/a	n/a	n/a	n/a	n/a	n/a
751.721	0.0	nontarget	4	751721	ö	0	40.0	n/a	n/a	2
753.821	0.0	nontarget	4	753821	j	0	23.0	n/a	n/a	2
756.071	0.0	nontarget	4	756071	x	0	32.0	n/a	n/a	2
758.57	0.0	nontarget	4	758570	c	0	47.0	n/a	n/a	2
761.02	0.0	nontarget	4	761020	t	0	44.0	n/a	n/a	2
763.42	0.0	nontarget	4	763420	p	0	41.0	n/a	n/a	2
765.453	0.0	target	5	765453	y	1	19.0	1	0.4697979	2
765.82	0.5	BAD keypress	1	765820	n/a	n/a	n/a	n/a	n/a	n/a
766.07	0.0	keypress	3	766070	n/a	n/a	n/a	n/a	n/a	n/a
767.737	0.0	nontarget	4	767737	n	0	41.0	n/a	n/a	2
770.153	0.0	nontarget	4	770153	ö	0	42.0	n/a	n/a	2
772.503	0.0	nontarget	4	772503	y	0	38.0	n/a	n/a	2
774.953	0.0	nontarget	4	774953	z	0	44.0	n/a	n/a	2
777.153	0.0	nontarget	4	777153	x	0	29.0	n/a	n/a	2
779.12	0.0	nontarget	4	779120	d	0	15.0	n/a	n/a	2
781.086	0.0	target	5	781086	i	1	15.0	1	0.5158818	2
781.453	0.5	BAD keypress	1	781453	n/a	n/a	n/a	n/a	n/a	n/a
781.703	0.0	keypress	3	781703	n/a	n/a	n/a	n/a	n/a	n/a
783.053	0.0	nontarget	4	783053	e	0	18.0	n/a	n/a	2
785.069	0.0	target	5	785069	p	1	18.0	1	0.4686768	2
785.419	0.5	BAD keypress	1	785419	n/a	n/a	n/a	n/a	n/a	n/a
785.669	0.0	keypress	3	785669	n/a	n/a	n/a	n/a	n/a	n/a
786.886	0.0	nontarget	4	786886	n	0	14.0	n/a	n/a	2
789.169	0.0	nontarget	4	789169	ü	0	34.0	n/a	n/a	2
791.236	0.0	nontarget	4	791236	o	0	21.0	n/a	n/a	2
793.502	0.0	nontarget	4	793502	a	0	33.0	n/a	n/a	2
795.785	0.0	nontarget	4	795785	g	0	34.0	n/a	n/a	2
797.869	0.0	target	5	797869	l	1	22.0	1	0.5484013	2
798.285	0.5	BAD keypress	1	798285	n/a	n/a	n/a	n/a	n/a	n/a
798.535	0.0	keypress	3	798535	n/a	n/a	n/a	n/a	n/a	n/a
799.885	0.0	nontarget	4	799885	z	0	22.0	n/a	n/a	2
802.152	0.0	nontarget	4	802152	c	0	33.0	n/a	n/a	2
804.185	0.0	nontarget	4	804185	ö	0	19.0	n/a	n/a	2
806.252	0.0	target	5	806252	b	1	21.0	1	0.4208401	2
806.552	0.5	BAD keypress	1	806552	n/a	n/a	n/a	n/a	n/a	n/a
806.802	0.0	keypress	3	806802	n/a	n/a	n/a	n/a	n/a	n/a
808.452	0.0	nontarget	4	808452	j	0	40.0	n/a	n/a	2
811.001	0.0	nontarget	4	811001	ß	0	50.0	n/a	n/a	2
813.168	0.0	target	5	813168	v	1	27.0	1	0.4799548	2
813.535	0.5	BAD keypress	1	813535	n/a	n/a	n/a	n/a	n/a	n/a
813.785	0.0	keypress	3	813785	n/a	n/a	n/a	n/a	n/a	n/a
815.001	0.0	nontarget	4	815001	v	0	14.0	n/a	n/a	2
817.368	0.0	nontarget	4	817368	x	0	39.0	n/a	n/a	2
819.451	0.0	nontarget	4	819451	b	0	22.0	n/a	n/a	2
821.568	0.0	nontarget	4	821568	g	0	24.0	n/a	n/a	2
823.784	0.0	target	5	823784	t	1	30.0	1	0.4071324	2
824.101	0.5	BAD keypress	1	824101	n/a	n/a	n/a	n/a	n/a	n/a
824.351	0.0	keypress	3	824351	n/a	n/a	n/a	n/a	n/a	n/a
826.117	0.0	nontarget	4	826117	f	0	46.0	n/a	n/a	2
828.517	0.0	nontarget	4	828517	p	0	41.0	n/a	n/a	2
830.484	0.0	nontarget	4	830484	r	0	15.0	n/a	n/a	2
833.034	0.0	nontarget	4	833034	z	0	50.0	n/a	n/a	2
835.517	0.0	target	5	835517	x	1	46.0	1	0.497548	2
835.9	0.5	BAD keypress	1	835900	n/a	n/a	n/a	n/a	n/a	n/a
836.15	0.0	keypress	3	836150	n/a	n/a	n/a	n/a	n/a	n/a
837.834	0.0	nontarget	4	837834	u	0	41.0	n/a	n/a	2
839.9	0.0	nontarget	4	839900	ü	0	21.0	n/a	n/a	2
842.017	0.0	nontarget	4	842017	s	0	24.0	n/a	n/a	2
