onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	205.981	BAD_break	2	0	n/a	n/a	n/a	n/a	n/a	n/a
206.481	0.0	target	5	206481	o	1	17.0	1	0.640874	1
206.964	0.5	BAD keypress	1	206964	n/a	n/a	n/a	n/a	n/a	n/a
207.214	0.0	keypress	3	207214	n/a	n/a	n/a	n/a	n/a	n/a
208.731	0.0	target	5	208731	ä	1	31.0	1	0.4549139	1
209.048	0.5	BAD keypress	1	209048	n/a	n/a	n/a	n/a	n/a	n/a
209.298	0.0	keypress	3	209298	n/a	n/a	n/a	n/a	n/a	n/a
210.781	0.0	nontarget	4	210781	w	0	29.0	n/a	n/a	1
212.981	0.0	nontarget	4	212981	p	0	29.0	n/a	n/a	1
215.164	0.0	nontarget	4	215164	t	0	28.0	n/a	n/a	1
217.397	0.0	nontarget	4	217397	m	0	31.0	n/a	n/a	1
219.747	0.0	nontarget	4	219747	z	0	38.0	n/a	n/a	1
221.947	0.0	nontarget	4	221947	w	0	29.0	n/a	n/a	1
224.03	0.0	target	5	224030	u	1	22.0	1	0.4664299	1
224.33	0.5	BAD keypress	1	224330	n/a	n/a	n/a	n/a	n/a	n/a
224.58	0.0	keypress	3	224580	n/a	n/a	n/a	n/a	n/a	n/a
226.163	0.0	target	5	226163	p	1	36.0	1	0.5251932	1
226.547	0.5	BAD keypress	1	226547	n/a	n/a	n/a	n/a	n/a	n/a
226.797	0.0	keypress	3	226797	n/a	n/a	n/a	n/a	n/a	n/a
228.413	0.0	nontarget	4	228413	s	0	38.0	n/a	n/a	1
230.913	0.0	nontarget	4	230913	i	0	47.0	n/a	n/a	1
233.23	0.0	nontarget	4	233230	r	0	36.0	n/a	n/a	1
235.546	0.0	nontarget	4	235546	x	0	36.0	n/a	n/a	1
237.946	0.0	nontarget	4	237946	v	0	41.0	n/a	n/a	1
239.946	0.0	target	5	239946	o	1	17.0	1	0.4375572	1
240.263	0.5	BAD keypress	1	240263	n/a	n/a	n/a	n/a	n/a	n/a
240.513	0.0	keypress	3	240513	n/a	n/a	n/a	n/a	n/a	n/a
242.229	0.0	nontarget	4	242229	f	0	43.0	n/a	n/a	1
244.563	0.0	nontarget	4	244563	g	0	37.0	n/a	n/a	1
246.546	0.0	nontarget	4	246546	w	0	16.0	n/a	n/a	1
248.879	0.0	nontarget	4	248879	a	0	37.0	n/a	n/a	1
250.846	0.0	nontarget	4	250846	p	0	15.0	n/a	n/a	1
253.162	0.0	nontarget	4	253162	j	0	36.0	n/a	n/a	1
255.329	0.0	nontarget	4	255329	d	0	27.0	n/a	n/a	1
257.362	0.0	nontarget	4	257362	n	0	19.0	n/a	n/a	1
259.595	0.0	nontarget	4	259595	ü	0	31.0	n/a	n/a	1
261.979	0.0	nontarget	4	261979	b	0	40.0	n/a	n/a	1
264.145	0.0	nontarget	4	264145	ö	0	27.0	n/a	n/a	1
266.145	0.0	nontarget	4	266145	f	0	17.0	n/a	n/a	1
268.178	0.0	nontarget	4	268178	y	0	19.0	n/a	n/a	1
270.545	0.0	nontarget	4	270545	z	0	39.0	n/a	n/a	1
272.728	0.0	nontarget	4	272728	b	0	28.0	n/a	n/a	1
274.745	0.0	nontarget	4	274745	o	0	18.0	n/a	n/a	1
276.745	0.0	nontarget	4	276745	ß	0	17.0	n/a	n/a	1
279.111	0.0	nontarget	4	279111	m	0	39.0	n/a	n/a	1
281.078	0.0	nontarget	4	281078	b	0	15.0	n/a	n/a	1
283.444	0.0	nontarget	4	283444	k	0	39.0	n/a	n/a	1
285.561	0.0	nontarget	4	285561	x	0	24.0	n/a	n/a	1
287.977	0.0	target	5	287977	g	1	42.0	1	0.4671759	1
288.311	0.5	BAD keypress	1	288311	n/a	n/a	n/a	n/a	n/a	n/a
288.561	0.0	keypress	3	288561	n/a	n/a	n/a	n/a	n/a	n/a
290.161	0.0	target	5	290161	p	1	37.0	1	0.44379	1
290.444	0.5	BAD keypress	1	290444	n/a	n/a	n/a	n/a	n/a	n/a
290.694	0.0	keypress	3	290694	n/a	n/a	n/a	n/a	n/a	n/a
292.111	0.0	nontarget	4	292111	t	0	26.0	n/a	n/a	1
294.327	0.0	nontarget	4	294327	k	0	30.0	n/a	n/a	1
296.377	0.0	nontarget	4	296377	q	0	20.0	n/a	n/a	1
