onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	176.839	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
177.339	0.0	nontarget	5	177339	ä	0	20.0	n/a	n/a	1
179.805	0.0	target	6	179805	v	1	45.0	1	0.454658	1
180.106	0.5	BAD keypress	2	180106	n/a	n/a	n/a	n/a	n/a	n/a
180.356	0.0	keypress	4	180356	n/a	n/a	n/a	n/a	n/a	n/a
182.155	0.0	target	6	182155	t	1	49.0	1	0.4406011	1
182.505	0.5	BAD keypress	2	182505	n/a	n/a	n/a	n/a	n/a	n/a
182.755	0.0	keypress	4	182755	n/a	n/a	n/a	n/a	n/a	n/a
184.455	0.0	nontarget	5	184455	s	0	43.0	n/a	n/a	1
186.922	0.0	nontarget	5	186922	i	0	45.0	n/a	n/a	1
189.305	0.0	nontarget	5	189305	u	0	40.0	n/a	n/a	1
191.705	0.0	nontarget	5	191705	e	0	41.0	n/a	n/a	1
193.855	0.0	nontarget	5	193855	x	0	26.0	n/a	n/a	1
196.021	0.0	nontarget	5	196021	w	0	27.0	n/a	n/a	1
198.471	0.0	nontarget	5	198471	n	0	44.0	n/a	n/a	1
200.421	0.0	target	6	200421	j	1	14.0	1	0.445549	1
200.755	0.5	BAD keypress	2	200755	n/a	n/a	n/a	n/a	n/a	n/a
201.005	0.0	keypress	4	201005	n/a	n/a	n/a	n/a	n/a	n/a
202.621	0.0	nontarget	5	202621	y	0	37.0	n/a	n/a	1
204.871	0.0	nontarget	5	204871	d	0	32.0	n/a	n/a	1
207.221	0.0	target	6	207221	ü	1	38.0	1	0.3814866	1
207.504	0.5	BAD keypress	2	207504	n/a	n/a	n/a	n/a	n/a	n/a
207.754	0.0	keypress	4	207754	n/a	n/a	n/a	n/a	n/a	n/a
209.354	0.0	target	6	209354	c	1	36.0	1	0.4400009	1
209.704	0.5	BAD keypress	2	209704	n/a	n/a	n/a	n/a	n/a	n/a
209.954	0.0	keypress	4	209954	n/a	n/a	n/a	n/a	n/a	n/a
211.337	0.0	nontarget	5	211337	b	0	24.0	n/a	n/a	1
213.487	0.0	nontarget	5	213487	x	0	26.0	n/a	n/a	1
215.654	0.0	nontarget	5	215654	s	0	27.0	n/a	n/a	1
217.654	0.0	nontarget	5	217654	h	0	17.0	n/a	n/a	1
219.87	0.0	nontarget	5	219870	o	0	30.0	n/a	n/a	1
221.87	0.0	nontarget	5	221870	g	0	17.0	n/a	n/a	1
223.853	0.0	nontarget	5	223853	j	0	16.0	n/a	n/a	1
226.303	0.0	nontarget	5	226303	ü	0	44.0	n/a	n/a	1
228.703	0.0	nontarget	5	228703	e	0	41.0	n/a	n/a	1
231.153	0.0	nontarget	5	231153	g	0	44.0	n/a	n/a	1
233.336	0.0	nontarget	5	233336	c	0	28.0	n/a	n/a	1
235.536	0.0	nontarget	5	235536	n	0	29.0	n/a	n/a	1
237.886	0.0	nontarget	5	237886	b	0	38.0	n/a	n/a	1
239.869	0.0	nontarget	5	239869	w	0	16.0	n/a	n/a	1
241.919	0.0	nontarget	5	241919	e	0	20.0	n/a	n/a	1
244.186	0.0	nontarget	5	244186	x	0	33.0	n/a	n/a	1
246.352	0.0	nontarget	5	246352	ä	0	27.0	n/a	n/a	1
248.652	0.0	target	6	248652	x	1	35.0	1	0.3871551	1
248.969	0.5	BAD keypress	2	248969	n/a	n/a	n/a	n/a	n/a	n/a
249.219	0.0	keypress	4	249219	n/a	n/a	n/a	n/a	n/a	n/a
250.436	0.0	nontarget	5	250436	g	0	14.0	n/a	n/a	1
252.752	0.0	nontarget	5	252752	f	0	36.0	n/a	n/a	1
254.752	0.0	nontarget	5	254752	k	0	17.0	n/a	n/a	1
257.152	0.0	nontarget	5	257152	ö	0	41.0	n/a	n/a	1
259.552	0.0	nontarget	5	259552	j	0	41.0	n/a	n/a	1
261.518	0.0	nontarget	5	261518	y	0	15.0	n/a	n/a	1
263.885	0.0	nontarget	5	263885	k	0	39.0	n/a	n/a	1
266.318	0.0	nontarget	5	266318	t	0	43.0	n/a	n/a	1
