onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	92.989	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
93.489	0.0	target	6	93489	u	1	18.0	1	0.4246395	1
93.806	0.5	BAD keypress	2	93806	n/a	n/a	n/a	n/a	n/a	n/a
94.056	0.0	keypress	4	94056	n/a	n/a	n/a	n/a	n/a	n/a
95.456	0.0	nontarget	5	95456	ö	0	24.0	n/a	n/a	1
97.722	0.0	target	6	97722	g	1	33.0	1	0.4151725	1
98.006	0.5	BAD keypress	2	98006	n/a	n/a	n/a	n/a	n/a	n/a
98.256	0.0	keypress	4	98256	n/a	n/a	n/a	n/a	n/a	n/a
99.672	0.0	nontarget	5	99672	c	0	25.0	n/a	n/a	1
101.922	0.0	nontarget	5	101922	p	0	32.0	n/a	n/a	1
104.055	0.0	target	6	104055	f	1	25.0	1	0.4496403	1
104.355	0.5	BAD keypress	2	104355	n/a	n/a	n/a	n/a	n/a	n/a
104.605	0.0	keypress	4	104605	n/a	n/a	n/a	n/a	n/a	n/a
105.872	0.0	nontarget	5	105872	m	0	16.0	n/a	n/a	1
108.172	0.0	nontarget	5	108172	y	0	35.0	0	0.3489217	1
108.172	1.0	BAD incorrect	1	108172	y	0	35.0	0	0.3489217	1
108.339	0.5	BAD keypress	2	108339	n/a	n/a	n/a	n/a	n/a	n/a
108.589	0.0	keypress	4	108589	n/a	n/a	n/a	n/a	n/a	n/a
110.488	0.0	nontarget	5	110488	ß	0	24.0	n/a	n/a	1
112.705	0.0	nontarget	5	112705	v	0	30.0	n/a	n/a	1
114.755	0.0	nontarget	5	114755	o	0	20.0	n/a	n/a	1
117.255	0.0	nontarget	5	117255	e	0	47.0	n/a	n/a	1
119.488	0.0	nontarget	5	119488	u	0	31.0	n/a	n/a	1
121.721	0.0	nontarget	5	121721	q	0	31.0	n/a	n/a	1
123.838	0.0	nontarget	5	123838	l	0	24.0	n/a	n/a	1
125.788	0.0	target	6	125788	ü	1	14.0	1	0.491889	1
126.154	0.5	BAD keypress	2	126154	n/a	n/a	n/a	n/a	n/a	n/a
126.404	0.0	keypress	4	126404	n/a	n/a	n/a	n/a	n/a	n/a
128.238	0.0	nontarget	5	128238	ä	0	50.0	n/a	n/a	1
130.338	0.0	nontarget	5	130338	t	0	23.0	n/a	n/a	1
132.721	0.0	nontarget	5	132721	c	0	40.0	n/a	n/a	1
134.921	0.0	nontarget	5	134921	u	0	29.0	n/a	n/a	1
137.287	0.0	nontarget	5	137287	v	0	39.0	n/a	n/a	1
139.437	0.0	nontarget	5	139437	e	0	26.0	n/a	n/a	1
141.454	0.0	nontarget	5	141454	x	0	18.0	n/a	n/a	1
143.804	0.0	nontarget	5	143804	u	0	38.0	n/a	n/a	1
145.954	0.0	nontarget	5	145954	ü	0	26.0	n/a	n/a	1
148.22	0.0	nontarget	5	148220	l	0	33.0	n/a	n/a	1
150.62	0.0	target	6	150620	r	1	41.0	1	0.3939432	1
150.903	0.5	BAD keypress	2	150903	n/a	n/a	n/a	n/a	n/a	n/a
151.153	0.0	keypress	4	151153	n/a	n/a	n/a	n/a	n/a	n/a
152.62	0.0	nontarget	5	152620	p	0	29.0	n/a	n/a	1
154.72	0.0	nontarget	5	154720	u	0	23.0	n/a	n/a	1
157.036	0.0	nontarget	5	157036	t	0	36.0	n/a	n/a	1
159.503	0.0	nontarget	5	159503	r	0	45.0	n/a	n/a	1
161.903	0.0	nontarget	5	161903	ß	0	41.0	n/a	n/a	1
164.336	0.0	nontarget	5	164336	ü	0	43.0	n/a	n/a	1
