onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	237.087	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
237.587	0.0	nontarget	5	237587	ß	0	36.0	n/a	n/a	1
239.537	0.0	nontarget	5	239537	f	0	14.0	n/a	n/a	1
241.987	0.0	nontarget	5	241987	r	0	44.0	n/a	n/a	1
244.104	0.0	nontarget	5	244104	y	0	24.0	n/a	n/a	1
246.27	0.0	nontarget	5	246270	ü	0	27.0	n/a	n/a	1
248.704	0.0	nontarget	5	248704	k	0	43.0	n/a	n/a	1
251.153	0.0	nontarget	5	251153	c	0	44.0	n/a	n/a	1
253.287	0.0	nontarget	5	253287	l	0	25.0	n/a	n/a	1
255.437	0.0	nontarget	5	255437	e	0	26.0	n/a	n/a	1
257.486	0.0	target	6	257486	h	1	20.0	1	0.4096006	1
257.77	0.5	BAD keypress	2	257770	n/a	n/a	n/a	n/a	n/a	n/a
258.02	0.0	keypress	4	258020	n/a	n/a	n/a	n/a	n/a	n/a
259.736	0.0	nontarget	5	259736	c	0	44.0	n/a	n/a	1
262.02	0.0	nontarget	5	262020	j	0	34.0	n/a	n/a	1
264.286	0.0	nontarget	5	264286	r	0	33.0	n/a	n/a	1
266.553	0.0	nontarget	5	266553	e	0	33.0	n/a	n/a	1
268.586	0.0	nontarget	5	268586	y	0	19.0	n/a	n/a	1
270.686	0.0	nontarget	5	270686	s	0	23.0	n/a	n/a	1
272.769	0.0	nontarget	5	272769	j	0	22.0	n/a	n/a	1
274.786	0.0	nontarget	5	274786	u	0	18.0	n/a	n/a	1
276.936	0.0	target	6	276936	m	1	26.0	1	0.3831855	1
277.169	0.5	BAD keypress	2	277169	n/a	n/a	n/a	n/a	n/a	n/a
277.419	0.0	keypress	4	277419	n/a	n/a	n/a	n/a	n/a	n/a
278.852	0.0	nontarget	5	278852	b	0	26.0	n/a	n/a	1
281.102	0.0	target	6	281102	n	1	32.0	1	0.5043908	1
281.452	0.5	BAD keypress	2	281452	n/a	n/a	n/a	n/a	n/a	n/a
281.702	0.0	keypress	4	281702	n/a	n/a	n/a	n/a	n/a	n/a
283.202	0.0	nontarget	5	283202	d	0	30.0	n/a	n/a	1
285.185	0.0	nontarget	5	285185	i	0	16.0	n/a	n/a	1
287.552	0.0	nontarget	5	287552	x	0	39.0	n/a	n/a	1
289.618	0.0	nontarget	5	289618	q	0	21.0	n/a	n/a	1
292.102	0.0	nontarget	5	292102	f	0	46.0	n/a	n/a	1
294.102	0.0	nontarget	5	294102	w	0	17.0	n/a	n/a	1
296.435	0.0	nontarget	5	296435	i	0	37.0	n/a	n/a	1
298.501	0.0	nontarget	5	298501	l	0	21.0	n/a	n/a	1
300.801	0.0	nontarget	5	300801	u	0	35.0	n/a	n/a	1
303.084	0.0	nontarget	5	303084	o	0	34.0	n/a	n/a	1
305.234	0.0	nontarget	5	305234	z	0	26.0	n/a	n/a	1
307.351	0.0	target	6	307351	a	1	24.0	1	0.4139124	1
307.618	0.5	BAD keypress	2	307618	n/a	n/a	n/a	n/a	n/a	n/a
307.868	0.0	keypress	4	307868	n/a	n/a	n/a	n/a	n/a	n/a
309.284	0.0	nontarget	5	309284	h	0	26.0	n/a	n/a	1
311.251	0.0	nontarget	5	311251	s	0	15.0	n/a	n/a	1
313.784	0.0	nontarget	5	313784	ü	0	49.0	n/a	n/a	1
316.334	0.0	target	6	316334	w	1	50.0	1	0.4862894	1
316.667	0.5	BAD keypress	2	316667	n/a	n/a	n/a	n/a	n/a	n/a
316.917	0.0	keypress	4	316917	n/a	n/a	n/a	n/a	n/a	n/a
318.317	0.0	target	6	318317	t	1	24.0	1	0.438984	1
318.617	0.5	BAD keypress	2	318617	n/a	n/a	n/a	n/a	n/a	n/a
318.867	0.0	keypress	4	318867	n/a	n/a	n/a	n/a	n/a	n/a
320.584	0.0	nontarget	5	320584	e	0	44.0	n/a	n/a	1
322.8	0.0	target	6	322800	c	1	30.0	1	0.4674919	1
323.117	0.5	BAD keypress	2	323117	n/a	n/a	n/a	n/a	n/a	n/a
323.367	0.0	keypress	4	323367	n/a	n/a	n/a	n/a	n/a	n/a
325.117	0.0	nontarget	5	325117	b	0	46.0	n/a	n/a	1
327.55	0.0	nontarget	5	327550	g	0	43.0	n/a	n/a	1
329.833	0.0	nontarget	5	329833	v	0	34.0	n/a	n/a	1
332.183	0.0	nontarget	5	332183	m	0	38.0	n/a	n/a	1
334.65	0.0	nontarget	5	334650	l	0	45.0	n/a	n/a	1
336.75	0.0	nontarget	5	336750	h	0	23.0	n/a	n/a	1
338.916	0.0	target	6	338916	q	1	27.0	1	0.4945595	1
339.283	0.5	BAD keypress	2	339283	n/a	n/a	n/a	n/a	n/a	n/a
339.533	0.0	keypress	4	339533	n/a	n/a	n/a	n/a	n/a	n/a
341.099	0.0	nontarget	5	341099	v	0	35.0	n/a	n/a	1
343.433	0.0	nontarget	5	343433	e	0	37.0	n/a	n/a	1
345.883	0.0	nontarget	5	345883	c	0	44.0	n/a	n/a	1
348.316	0.0	target	6	348316	ü	1	43.0	1	0.3902787	1
348.566	0.5	BAD keypress	2	348566	n/a	n/a	n/a	n/a	n/a	n/a
348.816	0.0	keypress	4	348816	n/a	n/a	n/a	n/a	n/a	n/a
350.416	0.0	nontarget	5	350416	m	0	37.0	n/a	n/a	1
352.916	0.0	target	6	352916	l	1	47.0	1	0.5101375	1
353.282	0.5	BAD keypress	2	353282	n/a	n/a	n/a	n/a	n/a	n/a
353.532	0.0	keypress	4	353532	n/a	n/a	n/a	n/a	n/a	n/a
355.249	0.0	target	6	355249	w	1	44.0	1	0.4167983	1
355.516	0.5	BAD keypress	2	355516	n/a	n/a	n/a	n/a	n/a	n/a
355.766	0.0	keypress	4	355766	n/a	n/a	n/a	n/a	n/a	n/a
357.115	0.0	nontarget	5	357115	a	0	21.0	n/a	n/a	1
