onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	161.402	BAD_break	2	0	n/a	n/a	n/a	n/a	n/a	n/a
161.652	0.5	BAD keypress	1	161652	n/a	n/a	n/a	n/a	n/a	n/a
161.902	0.0	keypress	3	161902	n/a	n/a	n/a	n/a	n/a	n/a
163.619	0.0	nontarget	4	163619	i	0	45.0	n/a	n/a	1
165.852	0.0	nontarget	4	165852	t	0	31.0	n/a	n/a	1
167.919	0.0	nontarget	4	167919	h	0	21.0	n/a	n/a	1
170.402	0.0	nontarget	4	170402	y	0	46.0	n/a	n/a	1
172.502	0.0	nontarget	4	172502	c	0	23.0	n/a	n/a	1
174.618	0.0	nontarget	4	174618	o	0	24.0	n/a	n/a	1
176.835	0.0	nontarget	4	176835	f	0	30.0	n/a	n/a	1
179.085	0.0	nontarget	4	179085	ß	0	32.0	n/a	n/a	1
181.585	0.0	nontarget	4	181585	ö	0	47.0	n/a	n/a	1
184.135	0.0	nontarget	4	184135	g	0	50.0	n/a	n/a	1
186.301	0.0	nontarget	4	186301	z	0	27.0	n/a	n/a	1
188.634	0.0	nontarget	4	188634	k	0	37.0	n/a	n/a	1
191.184	0.0	nontarget	4	191184	ü	0	50.0	n/a	n/a	1
193.451	0.0	target	5	193451	v	1	33.0	1	0.4297877	1
193.734	0.5	BAD keypress	1	193734	n/a	n/a	n/a	n/a	n/a	n/a
193.984	0.0	keypress	3	193984	n/a	n/a	n/a	n/a	n/a	n/a
195.784	0.0	nontarget	4	195784	j	0	49.0	n/a	n/a	1
197.751	0.0	nontarget	4	197751	u	0	15.0	n/a	n/a	1
199.801	0.0	nontarget	4	199801	e	0	20.0	n/a	n/a	1
202.117	0.0	nontarget	4	202117	i	0	36.0	n/a	n/a	1
204.1	0.0	nontarget	4	204100	j	0	16.0	n/a	n/a	1
206.55	0.0	nontarget	4	206550	l	0	44.0	n/a	n/a	1
208.967	0.0	nontarget	4	208967	q	0	42.0	n/a	n/a	1
211.45	0.0	nontarget	4	211450	r	0	46.0	n/a	n/a	1
213.8	0.0	target	5	213800	ü	1	38.0	1	0.495298	1
214.183	0.5	BAD keypress	1	214183	n/a	n/a	n/a	n/a	n/a	n/a
214.433	0.0	keypress	3	214433	n/a	n/a	n/a	n/a	n/a	n/a
215.717	0.0	nontarget	4	215717	u	0	18.0	n/a	n/a	1
217.767	0.0	nontarget	4	217767	e	0	20.0	n/a	n/a	1
219.916	0.0	target	5	219916	l	1	26.0	1	0.5065682	1
220.317	0.5	BAD keypress	1	220317	n/a	n/a	n/a	n/a	n/a	n/a
220.567	0.0	keypress	3	220567	n/a	n/a	n/a	n/a	n/a	n/a
222.383	0.0	nontarget	4	222383	ß	0	50.0	n/a	n/a	1
224.333	0.0	nontarget	4	224333	r	0	14.0	n/a	n/a	1
226.866	0.0	nontarget	4	226866	c	0	49.0	n/a	n/a	1
229.066	0.0	nontarget	4	229066	f	0	29.0	n/a	n/a	1
231.466	0.0	nontarget	4	231466	q	0	41.0	n/a	n/a	1
233.932	0.0	nontarget	4	233932	e	0	45.0	n/a	n/a	1
236.232	0.0	nontarget	4	236232	m	0	35.0	n/a	n/a	1
238.682	0.0	nontarget	4	238682	s	0	44.0	n/a	n/a	1
241.132	0.0	target	5	241132	w	1	44.0	1	0.3933355	1
241.432	0.5	BAD keypress	1	241432	n/a	n/a	n/a	n/a	n/a	n/a
241.682	0.0	keypress	3	241682	n/a	n/a	n/a	n/a	n/a	n/a
242.982	0.0	nontarget	4	242982	t	0	19.0	n/a	n/a	1
245.265	0.0	target	5	245265	q	1	34.0	1	0.4839183	1
245.615	0.5	BAD keypress	1	245615	n/a	n/a	n/a	n/a	n/a	n/a
245.865	0.0	keypress	3	245865	n/a	n/a	n/a	n/a	n/a	n/a
247.115	0.0	nontarget	4	247115	o	0	16.0	n/a	n/a	1
249.082	0.0	nontarget	4	249082	d	0	15.0	n/a	n/a	1
251.148	0.0	target	5	251148	a	1	21.0	1	0.4884442	1
251.498	0.5	BAD keypress	1	251498	n/a	n/a	n/a	n/a	n/a	n/a
251.748	0.0	keypress	3	251748	n/a	n/a	n/a	n/a	n/a	n/a
253.265	0.0	nontarget	4	253265	v	0	32.0	n/a	n/a	1
255.782	0.0	target	5	255782	d	1	48.0	1	0.3989165	1
256.065	0.5	BAD keypress	1	256065	n/a	n/a	n/a	n/a	n/a	n/a
