onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	143.578	BAD_break	2	0	n/a	n/a	n/a	n/a	n/a	n/a
144.078	0.0	nontarget	4	144078	b	0	36.0	n/a	n/a	1
146.428	0.0	nontarget	4	146428	ß	0	38.0	n/a	n/a	1
148.378	0.0	target	5	148378	l	1	14.0	1	0.590389	1
148.828	0.5	BAD keypress	1	148828	n/a	n/a	n/a	n/a	n/a	n/a
149.078	0.0	keypress	3	149078	n/a	n/a	n/a	n/a	n/a	n/a
150.861	0.0	nontarget	4	150861	e	0	48.0	n/a	n/a	1
153.211	0.0	nontarget	4	153211	ü	0	38.0	n/a	n/a	1
155.328	0.0	nontarget	4	155328	o	0	24.0	n/a	n/a	1
157.311	0.0	target	5	157311	v	1	16.0	0	n/a	1
159.928	0.0	nontarget	4	159928	b	0	23.0	n/a	n/a	1
161.978	0.0	nontarget	4	161978	p	0	20.0	n/a	n/a	1
164.111	0.0	target	5	164111	ü	1	25.0	1	0.4246471	1
164.394	0.5	BAD keypress	1	164394	n/a	n/a	n/a	n/a	n/a	n/a
164.644	0.0	keypress	3	164644	n/a	n/a	n/a	n/a	n/a	n/a
166.127	0.0	nontarget	4	166127	ß	0	30.0	n/a	n/a	1
168.344	0.0	nontarget	4	168344	s	0	30.0	n/a	n/a	1
170.494	0.0	nontarget	4	170494	u	0	26.0	n/a	n/a	1
172.944	0.0	nontarget	4	172944	e	0	44.0	n/a	n/a	1
175.044	0.0	nontarget	4	175044	c	0	23.0	n/a	n/a	1
177.294	0.0	nontarget	4	177294	a	0	32.0	n/a	n/a	1
179.327	0.0	nontarget	4	179327	ß	0	19.0	n/a	n/a	1
181.627	0.0	nontarget	4	181627	y	0	35.0	n/a	n/a	1
184.06	0.0	nontarget	4	184060	h	0	43.0	n/a	n/a	1
186.193	0.0	nontarget	4	186193	w	0	25.0	n/a	n/a	1
188.36	0.0	nontarget	4	188360	m	0	27.0	n/a	n/a	1
190.443	0.0	target	5	190443	o	1	22.0	1	0.4907065	1
190.76	0.5	BAD keypress	1	190760	n/a	n/a	n/a	n/a	n/a	n/a
191.01	0.0	keypress	3	191010	n/a	n/a	n/a	n/a	n/a	n/a
