onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	203.792	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
204.292	0.0	nontarget	5	204292	w	0	16.0	n/a	n/a	1
206.242	0.0	nontarget	5	206242	r	0	14.0	n/a	n/a	1
208.742	0.0	nontarget	5	208742	y	0	47.0	n/a	n/a	1
210.992	0.0	nontarget	5	210992	b	0	32.0	n/a	n/a	1
213.058	0.0	nontarget	5	213058	s	0	21.0	n/a	n/a	1
215.458	0.0	nontarget	5	215458	q	0	41.0	n/a	n/a	1
217.475	0.0	nontarget	5	217475	x	0	18.0	n/a	n/a	1
219.441	0.0	nontarget	5	219441	u	0	15.0	n/a	n/a	1
221.391	0.0	nontarget	5	221391	d	0	14.0	n/a	n/a	1
223.624	0.0	nontarget	5	223624	ü	0	31.0	n/a	n/a	1
225.574	0.0	target	6	225574	t	1	14.0	1	0.5171569	1
225.941	0.5	BAD keypress	2	225941	n/a	n/a	n/a	n/a	n/a	n/a
226.191	0.0	keypress	4	226191	n/a	n/a	n/a	n/a	n/a	n/a
227.441	0.0	target	6	227441	u	1	15.0	1	0.5382719	1
227.841	0.5	BAD keypress	2	227841	n/a	n/a	n/a	n/a	n/a	n/a
228.091	0.0	keypress	4	228091	n/a	n/a	n/a	n/a	n/a	n/a
229.358	0.0	nontarget	5	229358	k	0	17.0	n/a	n/a	1
231.807	0.0	nontarget	5	231807	m	0	44.0	n/a	n/a	1
233.957	0.0	target	6	233957	n	1	26.0	1	0.5174351	1
234.307	0.5	BAD keypress	2	234307	n/a	n/a	n/a	n/a	n/a	n/a
234.557	0.0	keypress	4	234557	n/a	n/a	n/a	n/a	n/a	n/a
236.257	0.0	target	6	236257	u	1	43.0	1	0.4574176	1
236.574	0.5	BAD keypress	2	236574	n/a	n/a	n/a	n/a	n/a	n/a
236.824	0.0	keypress	4	236824	n/a	n/a	n/a	n/a	n/a	n/a
238.14	0.0	nontarget	5	238140	q	0	20.0	n/a	n/a	1
240.29	0.0	target	6	240290	z	1	26.0	1	0.5519999	1
240.69	0.5	BAD keypress	2	240690	n/a	n/a	n/a	n/a	n/a	n/a
240.94	0.0	keypress	4	240940	n/a	n/a	n/a	n/a	n/a	n/a
242.507	0.0	nontarget	5	242507	f	0	35.0	n/a	n/a	1
244.624	0.0	target	6	244624	d	1	24.0	1	0.4745654	1
244.974	0.5	BAD keypress	2	244974	n/a	n/a	n/a	n/a	n/a	n/a
245.224	0.0	keypress	4	245224	n/a	n/a	n/a	n/a	n/a	n/a
246.69	0.0	nontarget	5	246690	o	0	29.0	n/a	n/a	1
249.173	0.0	nontarget	5	249173	u	0	46.0	n/a	n/a	1
251.157	0.0	target	6	251157	w	1	16.0	1	0.4690182	1
251.49	0.5	BAD keypress	2	251490	n/a	n/a	n/a	n/a	n/a	n/a
251.74	0.0	keypress	4	251740	n/a	n/a	n/a	n/a	n/a	n/a
253.223	0.0	nontarget	5	253223	p	0	29.0	n/a	n/a	1
255.423	0.0	nontarget	5	255423	z	0	29.0	n/a	n/a	1
257.84	0.0	nontarget	5	257840	ö	0	42.0	n/a	n/a	1
260.006	0.0	target	6	260006	e	1	27.0	1	0.3869828	1
260.29	0.5	BAD keypress	2	260290	n/a	n/a	n/a	n/a	n/a	n/a
260.54	0.0	keypress	4	260540	n/a	n/a	n/a	n/a	n/a	n/a
262.006	0.0	nontarget	5	262006	ü	0	29.0	n/a	n/a	1
264.139	0.0	nontarget	5	264139	m	0	25.0	n/a	n/a	1
266.189	0.0	nontarget	5	266189	p	0	20.0	n/a	n/a	1
268.572	0.0	nontarget	5	268572	e	0	40.0	n/a	n/a	1
270.972	0.0	nontarget	5	270972	o	0	41.0	n/a	n/a	1
273.206	0.0	nontarget	5	273206	ü	0	31.0	n/a	n/a	1
275.739	0.0	nontarget	5	275739	u	0	49.0	n/a	n/a	1
277.939	0.0	target	6	277939	f	1	29.0	1	0.5331849	1
278.322	0.5	BAD keypress	2	278322	n/a	n/a	n/a	n/a	n/a	n/a
278.572	0.0	keypress	4	278572	n/a	n/a	n/a	n/a	n/a	n/a
280.389	0.0	nontarget	5	280389	e	0	50.0	n/a	n/a	1
282.388	0.0	nontarget	5	282388	ä	0	17.0	n/a	n/a	1
284.388	0.0	nontarget	5	284388	o	0	17.0	n/a	n/a	1
286.638	0.0	nontarget	5	286638	j	0	32.0	n/a	n/a	1
288.622	0.0	nontarget	5	288622	x	0	16.0	n/a	n/a	1
290.871	0.0	nontarget	5	290871	p	0	32.0	n/a	n/a	1
