onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
0.0	217.26	BAD_break	3	0	n/a	n/a	n/a	n/a	n/a	n/a
217.76	0.0	nontarget	5	217760	m	0	21.0	n/a	n/a	1
220.293	0.0	nontarget	5	220293	q	0	49.0	n/a	n/a	1
222.61	0.0	nontarget	5	222610	s	0	36.0	n/a	n/a	1
224.81	0.0	nontarget	5	224810	f	0	29.0	n/a	n/a	1
227.16	0.0	target	6	227160	w	1	38.0	1	0.4888623	1
227.526	0.5	BAD keypress	2	227526	n/a	n/a	n/a	n/a	n/a	n/a
227.776	0.0	keypress	4	227776	n/a	n/a	n/a	n/a	n/a	n/a
229.476	0.0	nontarget	5	229476	i	0	42.0	n/a	n/a	1
231.493	0.0	target	6	231493	u	1	18.0	1	0.4113781	1
231.81	0.5	BAD keypress	2	231810	n/a	n/a	n/a	n/a	n/a	n/a
232.06	0.0	keypress	4	232060	n/a	n/a	n/a	n/a	n/a	n/a
233.626	0.0	nontarget	5	233626	s	0	35.0	n/a	n/a	1
235.693	0.0	nontarget	5	235693	ß	0	21.0	n/a	n/a	1
237.876	0.0	target	6	237876	c	1	28.0	1	0.4598937	1
238.226	0.5	BAD keypress	2	238226	n/a	n/a	n/a	n/a	n/a	n/a
238.476	0.0	keypress	4	238476	n/a	n/a	n/a	n/a	n/a	n/a
240.209	0.0	nontarget	5	240209	i	0	45.0	n/a	n/a	1
242.376	0.0	nontarget	5	242376	h	0	27.0	n/a	n/a	1
244.342	0.0	nontarget	5	244342	j	0	15.0	n/a	n/a	1
246.425	0.0	nontarget	5	246425	y	0	22.0	n/a	n/a	1
248.975	0.0	nontarget	5	248975	e	0	50.0	n/a	n/a	1
250.992	0.0	nontarget	5	250992	s	0	18.0	n/a	n/a	1
253.025	0.0	nontarget	5	253025	u	0	19.0	n/a	n/a	1
255.442	0.0	nontarget	5	255442	o	0	42.0	n/a	n/a	1
257.742	0.0	nontarget	5	257742	ü	0	35.0	n/a	n/a	1
260.291	0.0	target	6	260291	o	1	50.0	1	0.4267666	1
260.642	0.5	BAD keypress	2	260642	n/a	n/a	n/a	n/a	n/a	n/a
260.892	0.0	keypress	4	260892	n/a	n/a	n/a	n/a	n/a	n/a
262.275	0.0	nontarget	5	262275	m	0	24.0	n/a	n/a	1
264.625	0.0	target	6	264625	ä	1	38.0	1	0.3973078	1
264.991	0.5	BAD keypress	2	264991	n/a	n/a	n/a	n/a	n/a	n/a
265.241	0.0	keypress	4	265241	n/a	n/a	n/a	n/a	n/a	n/a
267.024	0.0	nontarget	5	267024	o	0	48.0	n/a	n/a	1
269.491	0.0	nontarget	5	269491	n	0	45.0	n/a	n/a	1
271.941	0.0	nontarget	5	271941	r	0	44.0	n/a	n/a	1
274.041	0.0	nontarget	5	274041	t	0	23.0	n/a	n/a	1
276.224	0.0	nontarget	5	276224	y	0	28.0	n/a	n/a	1
278.341	0.0	nontarget	5	278341	z	0	24.0	n/a	n/a	1
280.641	0.0	nontarget	5	280641	x	0	35.0	n/a	n/a	1
282.707	0.0	nontarget	5	282707	e	0	21.0	n/a	n/a	1
284.674	0.0	nontarget	5	284674	q	0	15.0	n/a	n/a	1
286.99	0.0	nontarget	5	286990	o	0	36.0	n/a	n/a	1
289.357	0.0	nontarget	5	289357	a	0	39.0	n/a	n/a	1
291.757	0.0	nontarget	5	291757	k	0	41.0	n/a	n/a	1
293.94	0.0	nontarget	5	293940	ä	0	28.0	n/a	n/a	1
296.323	0.0	nontarget	5	296323	q	0	40.0	n/a	n/a	1
298.39	0.0	nontarget	5	298390	l	0	21.0	n/a	n/a	1
300.59	0.0	target	6	300590	a	1	29.0	1	0.4939461	1
301.04	0.5	BAD keypress	2	301040	n/a	n/a	n/a	n/a	n/a	n/a
301.29	0.0	keypress	4	301290	n/a	n/a	n/a	n/a	n/a	n/a
302.69	0.0	nontarget	5	302690	n	0	25.0	n/a	n/a	1
305.023	0.0	target	6	305023	l	1	37.0	1	0.5084578	1
305.456	0.5	BAD keypress	2	305456	n/a	n/a	n/a	n/a	n/a	n/a
305.706	0.0	keypress	4	305706	n/a	n/a	n/a	n/a	n/a	n/a
307.173	0.0	nontarget	5	307173	o	0	28.0	n/a	n/a	1
309.623	0.0	target	6	309623	b	1	44.0	1	0.4203273	1
309.989	0.5	BAD keypress	2	309989	n/a	n/a	n/a	n/a	n/a	n/a
310.239	0.0	keypress	4	310239	n/a	n/a	n/a	n/a	n/a	n/a
311.506	0.0	target	6	311506	j	1	17.0	1	0.5529939	1
311.973	0.5	BAD keypress	2	311973	n/a	n/a	n/a	n/a	n/a	n/a
312.223	0.0	keypress	4	312223	n/a	n/a	n/a	n/a	n/a	n/a
313.489	0.0	nontarget	5	313489	c	0	17.0	n/a	n/a	1
316.022	0.0	nontarget	5	316022	b	0	49.0	n/a	n/a	1
318.006	0.0	nontarget	5	318006	z	0	16.0	n/a	n/a	1
320.305	0.0	nontarget	5	320305	ö	0	35.0	n/a	n/a	1
322.305	0.0	nontarget	5	322305	t	0	17.0	n/a	n/a	1
324.555	0.0	nontarget	5	324555	q	0	32.0	n/a	n/a	1
326.638	0.0	nontarget	5	326638	v	0	22.0	n/a	n/a	1
329.172	0.0	target	6	329172	l	1	49.0	1	0.4538297	1
329.605	0.5	BAD keypress	2	329605	n/a	n/a	n/a	n/a	n/a	n/a
329.855	0.0	keypress	4	329855	n/a	n/a	n/a	n/a	n/a	n/a
331.122	0.0	nontarget	5	331122	u	0	17.0	n/a	n/a	1
333.122	0.0	nontarget	5	333122	d	0	17.0	n/a	n/a	1
335.638	0.0	target	6	335638	j	1	48.0	1	0.5630239	1
336.121	0.5	BAD keypress	2	336121	n/a	n/a	n/a	n/a	n/a	n/a
336.371	0.0	keypress	4	336371	n/a	n/a	n/a	n/a	n/a	n/a
338.021	0.0	nontarget	5	338021	z	0	40.0	n/a	n/a	1
340.338	0.0	nontarget	5	340338	t	0	36.0	n/a	n/a	1
342.404	0.0	nontarget	5	342404	k	0	21.0	n/a	n/a	1
344.854	0.0	nontarget	5	344854	v	0	44.0	n/a	n/a	1
347.138	0.0	nontarget	5	347138	ö	0	34.0	n/a	n/a	1
349.087	0.0	nontarget	5	349087	z	0	14.0	n/a	n/a	1
351.204	0.0	nontarget	5	351204	f	0	24.0	n/a	n/a	1
353.187	0.0	nontarget	5	353187	h	0	16.0	n/a	n/a	1
355.554	0.0	nontarget	5	355554	m	0	39.0	n/a	n/a	1
357.504	0.0	nontarget	5	357504	t	0	14.0	n/a	n/a	1
359.52	0.0	nontarget	5	359520	z	0	18.0	n/a	n/a	1
361.52	0.0	nontarget	5	361520	a	0	17.0	n/a	n/a	1
